index,sqft,mean_district_income,type_Att/Row/Twnhouse,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Semi-Detached
195,250.0,53583.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
196,750.0,28085.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
200,750.0,52035.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
201,1100.0,52035.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
204,1500.0,64140.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
206,550.0,58915.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
207,1300.0,52035.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
208,550.0,70623.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
209,250.0,53583.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
210,650.0,45326.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
212,850.0,112766.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
213,650.0,45326.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
219,1900.0,40442.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
221,950.0,30033.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
224,550.0,29958.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
225,650.0,30878.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
227,950.0,34904.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
228,750.0,29573.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
229,3250.0,33323.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
230,1300.0,35047.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
233,2124.0,112766.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
234,1750.0,49709.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
235,4250.0,32913.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
236,750.0,54438.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
239,1700.0,204521.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
